year,description ,state,area burned ha,area burned acres,fatalities,homes destroyed,other buildings destroyed,cattle_sheep,cattle_general,approx_value_loss,est_value_lives,est_value_home,est_value_public_buildings,est_value_sheep,est_value_livestock,other damanged
2006,"Jail Break Inn Fire, Junee",New South Wales,30000.00,74000.00,0.00,7.00,4.00,,,,,,,,,"20,000 livestock, 7 headers, 1.5km of fencing"
2005,2005 Victorian bushfires,Victoria,160000.00,400000.00,4.00,57.00,359.00,63243.00,1021.00,22400000.00,,,,,,"65,000 livestock"
2006,Grampians bushfire,Victoria,184000.00,450000.00,2.00,0.00,0.00,,,,,,,,,
2006,"Pulletop bushfire, Wagga Wagga",New South Wales,9000.00,22000.00,0.00,0.00,2.00,,,,,,,,,"2,500 livestock, 3 vehicles, 50km of fencing"
2007,The Great Divides bushfire,Victoria,1048000.00,2590000.00,1.00,51.00,0.00,,,,,,,,,
2007,2006–07 Australian bushfire season,New South Wales,1360000.00,3400000.00,5.00,83.00,20.00,,,,,,,,,
2007,2006–07 Australian bushfire season,Victoria,1300000.00,,1.00,51.00,,,,,,,,,,
2007,Dwellingup bushfire,Western Australia,12000.00,30000.00,0.00,16.00,0.00,,,,,,,,,
2007,2007 Kangaroo Island bushfires,South Australia,95000.00,230000.00,1.00,0.00,0.00,,,,,,,,,
2007,Boorabbin National Park,Western Australia,40000.00,99000.00,3.00,0.00,0.00,,,,,,,,,"Powerlines, Great Eastern Highway was closed for 2 weeks"
2009,Black Saturday bushfires,Victoria,450000.00,1100000.00,173.00,2029.00,2000.00,,,1070000000.00,,,,,,
2011,"Perth Hills, Western Australia 2011",Western Australia,1540.00,,,110.00,,,,35000000.00,,,,,,
2011,Augusta and Margaret River fires,Western Australia,58550.00,,,246.00,1.00,,,53000000.00,,,,,,
2013,Tasmanian bushfires,Tasmania,20000.00,49000.00,1.00,0.00,170.00,,,87100000.00,,,,,,
2013,Warrumbungle bushfire,New South Wales,54000.00,130000.00,0.00,53.00,118.00,,,35000000.00,,,,,,"Agricultural machinery and livestock, Infrastructure at Siding Spring Observatory"
2013,2013 New South Wales bushfires,New South Wales,120000.00,250000.00,1.00,208.00,40.00,,,183400000.00,,,,,,
2012,Carnarvon bushfire complex,Western Australia,800000.00,2000000.00,0.00,0.00,0.00,,,,,,,,,"11 pastoral stations, (fences, watering systems, water points, stock feed)"
2014,"Preth Hills, Western Australia 2014",Western Australia,650.00,,1.00,,,,,15000000.00,,,,,,
2015,2015 Sampson Flat bushfires,South Australia,20000.00,49000.00,0.00,27.00,140.00,,,,,,,,,
2015,2015 O'Sullivan bushfire (Northcliffe – Windy Harbour),Western Australia,98923.00,244440.00,0.00,2.00,5.00,,,,,,,,,"Thousands of hectares of production forests (karri and jarrah) or national parks,"
2005,2015 Lower Hotham bushfire (Boddington),Western Australia,52373.00,129420.00,0.00,1.00,1.00,,,,,,,,,"1 bridge, Thousands of hectares of production forest (jarrah) or national parks"
2015,2015 Wentworthfalls Winter Fire,New South Wales,800.00,2000.00,0.00,0.00,0.00,,,,,,,,,
2015,2015 Esperance bushfires,Western Australia,200000.00,490000.00,4.00,10.00,0.00,,,,,,,,,"15,000 livestock, 5 Nature Reserves, Most of Cape Arid National Park"
